Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,132730691,1700.299882543965,4156508,53.245485357964796,667026,2880726,36.9025282889648,71595,0.9171425928215449,13043,
United States of America,Americas,30541000,9226.81,445224,134.51,65126,552928,167.05,7039,2.13,803,Community transmission
Brazil,Americas,13100580,6163.26,442471,208.16,86979,336947,158.52,19301,9.08,4195,Community transmission
India,South-East Asia,12928574,936.85,706909,51.23,126789,166862,12.09,3935,0.29,685,Clusters of cases
France,Europe,4764318,7325.28,194620,299.23,0,96672,148.64,1610,2.48,0,Community transmission
Russian Federation,Europe,4614834,3162.26,60570,41.5,8672,101845,69.79,2612,1.79,365,Clusters of cases
The United Kingdom,Europe,4367295,6433.28,21503,31.68,2762,126927,186.97,214,0.32,45,Community transmission
Italy,Europe,3700393,6204.39,115494,193.65,13686,112374,188.42,3028,5.08,627,Clusters of cases
Turkey,Europe,3633925,4308.71,316743,375.56,54740,32943,39.06,1406,1.67,276,Community transmission
Spain,Europe,3326736,7028.42,36860,77.87,5309,76037,160.64,240,0.51,10,Community transmission
Germany,Europe,2930852,3524.07,97679,117.45,20407,77707,93.44,1164,1.4,306,Community transmission
Poland,Europe,2499507,6584.9,142537,375.51,27890,56659,149.27,2994,7.89,956,Community transmission
Colombia,Americas,2468236,4850.82,70505,138.56,11827,64524,126.81,1269,2.49,231,Community transmission
Argentina,Americas,2428029,5372.25,95264,210.78,20870,56634,125.31,898,1.99,163,Community transmission
Mexico,Americas,2256380,1750.04,23470,18.2,4675,205002,159,2369,1.84,603,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1984348,2362.52,98784,117.61,20954,63699,75.84,1034,1.23,193,Community transmission
Ukraine,Europe,1803998,4124.96,112261,256.69,19419,35962,82.23,2716,6.21,464,Community transmission
Peru,Americas,1598593,4848.36,58516,177.47,8384,53411,161.99,1610,4.88,273,Community transmission
Czechia,Europe,1567848,14661.09,28231,263.99,7071,27466,256.84,880,8.23,137,Community transmission
South Africa,Africa,1553609,2619.53,5452,9.19,756,53111,89.55,265,0.45,79,Community transmission
Indonesia,South-East Asia,1547376,565.72,35664,13.04,4860,42064,15.38,1206,0.44,87,Community transmission
Netherlands,Europe,1319353,7579.18,46904,269.45,6409,16672,95.77,136,0.78,23,Community transmission
Chile,Americas,1043022,5456.22,47484,248.4,5242,23796,124.48,661,3.46,62,Community transmission
Canada,Americas,1020893,2704.91,44295,117.36,6520,23141,61.31,215,0.57,23,Community transmission
Romania,Europe,988624,5114.76,35821,185.32,5407,24561,127.07,1023,5.29,175,Community transmission
Belgium,Europe,908212,7882.12,17776,154.27,1,23301,202.22,262,2.27,8,Community transmission
Iraq,Eastern Mediterranean,895622,2226.67,44698,111.13,8331,14572,36.23,249,0.62,37,Community transmission
Sweden,Europe,841807,8151.05,36917,357.46,6805,13578,131.47,29,0.28,0,Community transmission
Israel,Europe,835385,9651.45,2591,29.93,652,6270,72.44,73,0.84,14,Community transmission
Portugal,Europe,825031,8013.19,3309,32.14,663,16890,164.05,42,0.41,3,Clusters of cases
Philippines,Western Pacific,819164,747.54,71897,65.61,6414,14059,12.83,762,0.7,242,Community transmission
Pakistan,Eastern Mediterranean,700188,316.98,32231,14.59,4004,15026,6.8,592,0.27,102,Community transmission
Hungary,Europe,698490,7149.68,36769,376.36,4814,22681,232.16,1686,17.26,272,Community transmission
Bangladesh,South-East Asia,659278,400.32,47983,29.14,7626,9447,5.74,401,0.24,63,Community transmission
Jordan,Eastern Mediterranean,650681,6377.27,39104,383.25,5232,7469,73.2,611,5.99,86,Community transmission
Serbia,Europe,629388,9086.4,28792,415.67,3615,5579,80.54,271,3.91,42,Community transmission
Switzerland,Europe,609783,7045.75,8620,99.6,4,9718,112.29,48,0.55,1,Community transmission
Austria,Europe,562762,6322.41,20094,225.75,3006,9296,104.44,210,2.36,46,Community transmission
Morocco,Eastern Mediterranean,499688,1353.78,3591,9.73,663,8867,24.02,49,0.13,2,Clusters of cases
Japan,Western Pacific,492875,389.7,18102,14.31,3299,9301,7.35,139,0.11,22,Clusters of cases
Lebanon,Eastern Mediterranean,485918,7119.21,17518,256.66,3120,6512,95.41,278,4.07,33,Community transmission
United Arab Emirates,Eastern Mediterranean,476019,4812.94,14575,147.37,1883,1520,15.37,23,0.23,4,Community transmission
Saudi Arabia,Eastern Mediterranean,394952,1134.47,4945,14.2,783,6719,19.3,50,0.14,8,Sporadic cases
