X0,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality
1,7.400000,0.700000,0.000000,1.900000,0.076000,11.000000,34.000000,0.997800,3.510000,0.560000,9.400000,5
2,7.800000,0.880000,0.000000,2.600000,0.098000,25.000000,67.000000,0.996800,3.200000,0.680000,9.800000,5
3,7.800000,0.760000,0.040000,2.300000,0.092000,15.000000,54.000000,0.997000,3.260000,0.650000,9.800000,5
4,11.200000,0.280000,0.560000,1.900000,0.075000,17.000000,60.000000,0.998000,3.160000,0.580000,9.800000,6
5,7.400000,0.700000,0.000000,1.900000,0.076000,11.000000,34.000000,0.997800,3.510000,0.560000,9.400000,5
6,7.400000,0.660000,0.000000,1.800000,0.075000,13.000000,40.000000,0.997800,3.510000,0.560000,9.400000,5
7,7.900000,0.600000,0.060000,1.600000,0.069000,15.000000,59.000000,0.996400,3.300000,0.460000,9.400000,5
8,7.300000,0.650000,0.000000,1.200000,0.065000,15.000000,21.000000,0.994600,3.390000,0.470000,10.000000,7
9,7.800000,0.580000,0.020000,2.000000,0.073000,9.000000,18.000000,0.996800,3.360000,0.570000,9.500000,7
10,7.500000,0.500000,0.360000,6.100000,0.071000,17.000000,102.000000,0.997800,3.350000,0.800000,10.500000,5
11,6.700000,0.580000,0.080000,1.800000,0.097000,15.000000,65.000000,0.995900,3.280000,0.540000,9.200000,5
12,7.500000,0.500000,0.360000,6.100000,0.071000,17.000000,102.000000,0.997800,3.350000,0.800000,10.500000,5
13,5.600000,0.615000,0.000000,1.600000,0.089000,16.000000,59.000000,0.994300,3.580000,0.520000,9.900000,5
14,7.800000,0.610000,0.290000,1.600000,0.114000,9.000000,29.000000,0.997400,3.260000,1.560000,9.100000,5
15,8.900000,0.620000,0.180000,3.800000,0.176000,52.000000,145.000000,0.998600,3.160000,0.880000,9.200000,5
16,8.900000,0.620000,0.190000,3.900000,0.170000,51.000000,148.000000,0.998600,3.170000,0.930000,9.200000,5
17,8.500000,0.280000,0.560000,1.800000,0.092000,35.000000,103.000000,0.996900,3.300000,0.750000,10.500000,7
18,8.100000,0.560000,0.280000,1.700000,0.368000,16.000000,56.000000,0.996800,3.110000,1.280000,9.300000,5
19,7.400000,0.590000,0.080000,4.400000,0.086000,6.000000,29.000000,0.997400,3.380000,0.500000,9.000000,4
20,7.900000,0.320000,0.510000,1.800000,0.341000,17.000000,56.000000,0.996900,3.040000,1.080000,9.200000,6
21,8.900000,0.220000,0.480000,1.800000,0.077000,29.000000,60.000000,0.996800,3.390000,0.530000,9.400000,6
22,7.600000,0.390000,0.310000,2.300000,0.082000,23.000000,71.000000,0.998200,3.520000,0.650000,9.700000,5
23,7.900000,0.430000,0.210000,1.600000,0.106000,10.000000,37.000000,0.996600,3.170000,0.910000,9.500000,5
24,8.500000,0.490000,0.110000,2.300000,0.084000,9.000000,67.000000,0.996800,3.170000,0.530000,9.400000,5
25,6.900000,0.400000,0.140000,2.400000,0.085000,21.000000,40.000000,0.996800,3.430000,0.630000,9.700000,6
26,6.300000,0.390000,0.160000,1.400000,0.080000,11.000000,23.000000,0.995500,3.340000,0.560000,9.300000,5
27,7.600000,0.410000,0.240000,1.800000,0.080000,4.000000,11.000000,0.996200,3.280000,0.590000,9.500000,5
28,7.900000,0.430000,0.210000,1.600000,0.106000,10.000000,37.000000,0.996600,3.170000,0.910000,9.500000,5
29,7.100000,0.710000,0.000000,1.900000,0.080000,14.000000,35.000000,0.997200,3.470000,0.550000,9.400000,5
30,7.800000,0.645000,0.000000,2.000000,0.082000,8.000000,16.000000,0.996400,3.380000,0.590000,9.800000,6
31,6.700000,0.675000,0.070000,2.400000,0.089000,17.000000,82.000000,0.995800,3.350000,0.540000,10.100000,5
32,6.900000,0.685000,0.000000,2.500000,0.105000,22.000000,37.000000,0.996600,3.460000,0.570000,10.600000,6
33,8.300000,0.655000,0.120000,2.300000,0.083000,15.000000,113.000000,0.996600,3.170000,0.660000,9.800000,5
34,6.900000,0.605000,0.120000,10.700000,0.073000,40.000000,83.000000,0.999300,3.450000,0.520000,9.400000,6
35,5.200000,0.320000,0.250000,1.800000,0.103000,13.000000,50.000000,0.995700,3.380000,0.550000,9.200000,5
36,7.800000,0.645000,0.000000,5.500000,0.086000,5.000000,18.000000,0.998600,3.400000,0.550000,9.600000,6
37,7.800000,0.600000,0.140000,2.400000,0.086000,3.000000,15.000000,0.997500,3.420000,0.600000,10.800000,6
38,8.100000,0.380000,0.280000,2.100000,0.066000,13.000000,30.000000,0.996800,3.230000,0.730000,9.700000,7
39,5.700000,1.130000,0.090000,1.500000,0.172000,7.000000,19.000000,0.994000,3.500000,0.480000,9.800000,4
40,7.300000,0.450000,0.360000,5.900000,0.074000,12.000000,87.000000,0.997800,3.330000,0.830000,10.500000,5
41,7.300000,0.450000,0.360000,5.900000,0.074000,12.000000,87.000000,0.997800,3.330000,0.830000,10.500000,5
42,8.800000,0.610000,0.300000,2.800000,0.088000,17.000000,46.000000,0.997600,3.260000,0.510000,9.300000,4
43,7.500000,0.490000,0.200000,2.600000,0.332000,8.000000,14.000000,0.996800,3.210000,0.900000,10.500000,6
44,8.100000,0.660000,0.220000,2.200000,0.069000,9.000000,23.000000,0.996800,3.300000,1.200000,10.300000,5
45,6.800000,0.670000,0.020000,1.800000,0.050000,5.000000,11.000000,0.996200,3.480000,0.520000,9.500000,5
46,4.600000,0.520000,0.150000,2.100000,0.054000,8.000000,65.000000,0.993400,3.900000,0.560000,13.100000,4
47,7.700000,0.935000,0.430000,2.200000,0.114000,22.000000,114.000000,0.997000,3.250000,0.730000,9.200000,5
48,8.700000,0.290000,0.520000,1.600000,0.113000,12.000000,37.000000,0.996900,3.250000,0.580000,9.500000,5
49,6.400000,0.400000,0.230000,1.600000,0.066000,5.000000,12.000000,0.995800,3.340000,0.560000,9.200000,5
50,5.600000,0.310000,0.370000,1.400000,0.074000,12.000000,96.000000,0.995400,3.320000,0.580000,9.200000,5
51,8.800000,0.660000,0.260000,1.700000,0.074000,4.000000,23.000000,0.997100,3.150000,0.740000,9.200000,5
52,6.600000,0.520000,0.040000,2.200000,0.069000,8.000000,15.000000,0.995600,3.400000,0.630000,9.400000,6
53,6.600000,0.500000,0.040000,2.100000,0.068000,6.000000,14.000000,0.995500,3.390000,0.640000,9.400000,6
54,8.600000,0.380000,0.360000,3.000000,0.081000,30.000000,119.000000,0.997000,3.200000,0.560000,9.400000,5
55,7.600000,0.510000,0.150000,2.800000,0.110000,33.000000,73.000000,0.995500,3.170000,0.630000,10.200000,6
56,7.700000,0.620000,0.040000,3.800000,0.084000,25.000000,45.000000,0.997800,3.340000,0.530000,9.500000,5
57,10.200000,0.420000,0.570000,3.400000,0.070000,4.000000,10.000000,0.997100,3.040000,0.630000,9.600000,5
58,7.500000,0.630000,0.120000,5.100000,0.111000,50.000000,110.000000,0.998300,3.260000,0.770000,9.400000,5
